"Site_Type"	"Project_ID"	"Observation_ID"	"Observer_Code"	"Observation_Serial"	"Observation_Description"	"Observation_Label"	"Observation_Type"	"Latitude"	"Longitude"	"Error"	"Date"	"Prefix"	"Year"	"Mon"	"Day"	"Nation"	"State"	"County"	"Island"	"FIPS"	"Elevation"	"Community_Name"	"Community_Description"	"Structure"	"Landscape"	"Position"	"Aspect"	"Slope"	"PlotBearing"	"Map Unit"	"Soil Series"	"Soil Taxon"	"Drainage Class"	"Restriction_Depth"	"WT_Depth"	"MinWT_Depth"	"Soil_Notes"	"Litter_Cover"	"Snag_Count"	"Plot_Area_m"	"BA_Count"	"BA_Factor"	"Cowardin"	"HGM"	"Stratum1"	"Stratum2"	"Stratum3"	"Stratum4"	"Stratum5"	"Stratum6"	"Stratum7"	"Stratum8"	"Stratum9"	"Stratum10"	"Tree_Cover"	"Shrub_Cover"	"Herb_Cover"	"Moss_Cover"	"Aggregated_Overstory"	"Aggregated_Understory"	"Estimated_Understory"	"DWD_Hits1"	"DWD_Hits2"	"DWD_Hits3"	"DWD_Hits4"	"DWD_Hits5"	"Transect_Length"	"Log_Cover"	"Rock_Cover"	"Lichen_Cover"	"Water_Cover"	"MaxWater_Cover"	"DBH_lower"	"DBH_upper"	"Canopy_lower"	"Canopy_upper"
		"0"	"GRR.GJS"	0		"Sevier County, Tennessee 1715m #0"	"General"	35.64	-83.44	10.00	0		0	0	0	"USA"	"Tennessee"	"Sevier County"		"47155"	1715.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"1"	"GRR.GJS"	0		"Swain County, North Carolina 1807m #1"	"General"	35.55	-83.50	10.00	0		0	0	0	"USA"	"North Carolina"	"Swain County"		"37173"	1807.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"10"	"GRR.GJS"	0		"Humboldt County, California 169m #10"	"General"	41.32	-123.99	10.00	0		0	0	0	"USA"	"California"	"Humboldt County"			169.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"100"	"GRR.GJS"	0		"Garrard County, Kentucky 289m #100"	"General"	37.63	-84.55	10.00	0		0	0	0	"USA"	"Kentucky"	"Garrard County"		"21079"	289.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"101"	"GRR.GJS"	0		"Iosco County, Michigan 187m #101"	"General"	44.48	-83.33	10.00	0		0	0	0	"USA"	"Michigan"	"Iosco County"			186.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"102"	"GRR.GJS"	0		"Charlevoix County, Michigan 238m #102"	"General"	45.62	-85.55	10.00	0		0	0	0	"USA"	"Michigan"	"Charlevoix County"	"Beaver I."	"26029"	232.86						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"103"	"GRR.GJS"	0		"Keweenaw County, Michigan 439m #103"	"General"	47.36	-88.20	10.00	0		0	0	0	"USA"	"Michigan"	"Keweenaw County"	"Keweenaw Pen."	"26083"	439.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"11"	"GRR.GJS"	0		"Carter County, Missouri 282m #11"	"General"	36.88	-91.15	10.00	0		0	0	0	"USA"	"Missouri"	"Carter County"			282.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"12"	"GRR.GJS"	0		"Morgan County, Tennessee 997m #12"	"General"	36.14	-84.45	10.00	0		0	0	0	"USA"	"Tennessee"	"Morgan County"			997.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"13"	"GRR.GJS"	0		"Knox County, Tennessee 324m #13"	"General"	36.01	-83.93	10.00	0		0	0	0	"USA"	"Tennessee"	"Knox County"		"47093"	324.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
