"phase","Taxon","order","under","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top"
"1","Cephalanthus occidentalis",3,94.9990500094999,"CEOC2","Shrub/Subshrub","Native",95,95,0.5,2
"1","Glyceria striata",5,0.999990000100004,"GLST","Grass/grass-like (Graminoids)","Native",1,1,1,1.5
"1","Leersia virginica",5,0.999990000100004,"LEVI2","Grass/grass-like (Graminoids)","Native",1,1,1,1
"1","Pilea pumila",6,4.9999500005,"PIPU2","Forb/Herb","Native",5,5,0,
"2","Fraxinus pennsylvanica",1,1.33332000013333,"FRPE","Tree","Native",0,2,1,5
"2","Populus deltoides",1,0.333330000033338,"PODE3","Tree","Native",0,0.5,0,
"2","Phleum pratense",5,43.3329000043333,"PHPR3","Grass/grass-like (Graminoids)","Introduced",25,85,1,1
"2","Poa palustris",5,30.6663600030666,"POPA2","Grass/grass-like (Graminoids)","Native",0,45,1,1
"2","Elymus repens",5,8.99991000089999,"ELRE4","Grass/grass-like (Graminoids)","Introduced",2,15,1,1
"2","Bromus inermis",5,1.33332000013333,"BRIN2","Grass/grass-like (Graminoids)","Introduced",0,2,1,1.5
"2","Echinochloa crus-galli",5,0.333330000033338,"ECCR","Grass/grass-like (Graminoids)","Introduced",0,0.5,0,
"2","Lolium perenne",5,0.333330000033338,"LOPE","Grass/grass-like (Graminoids)","Introduced",0,0.5,1,1
"2","Pycreus esculentus",5,0.333330000033338,,"Grass/grass-like (Graminoids)","Native",0,0.5,0,
"2","Pycreus esculentus",5,0.333330000033338,,"Grass/grass-like (Graminoids)","Native",0,0.5,0,
"2","Pycreus esculentus",5,0.333330000033338,,"Grass/grass-like (Graminoids)","Introduced",0,0.5,0,
"2","Apocynum cannabinum",6,13.3332000013333,"APCA","Forb/Herb","Native",0,20,1,1
"2","Solidago altissima",6,13.3332000013333,"SOAL6","Forb/Herb","Native",0,20,1,1
"2","Daucus carota",6,8.66658000086665,"DACA6","Forb/Herb","Introduced",3.5,20,0,
"2","Ambrosia artemisiifolia",6,3.33330000033333,"AMAR2","Forb/Herb","Native",2.5,5,0,
"2","Persicaria pensylvanica",6,3.33330000033333,"PEPE19","Forb/Herb","Native",0,5,0,
"2","Amaranthus retroflexus",6,1.66665000016667,"AMRE","Forb/Herb","Introduced",0,2.5,0,
"2","Silene latifolia",6,1.66665000016667,"SILA21","Forb/Herb","Introduced",0,2.5,0,
"2","Arctium minus",6,0.666660000066666,"ARMI2","Forb/Herb","Introduced",0.5,1,0,
"2","Barbarea vulgaris",6,0.666660000066666,"BAVU","Forb/Herb","Introduced",0,1,0,
"2","Dipsacus fullonum",6,0.666660000066666,"DIFU2","Forb/Herb","Introduced",0,1,0,
"2","Erigeron strigosus",6,0.666660000066666,"ERST3","Forb/Herb","Native",0,1,1,1
"2","Persicaria hydropiper",6,0.666660000066666,"PEHY6","Forb/Herb","Introduced",0,1,0,
"2","Solidago canadensis",6,0.666660000066666,"SOCA6","Forb/Herb","Native",0,1,1,1
"2","Symphyotrichum pilosum",6,0.666660000066666,"SYPI2","Forb/Herb","Native",0,1,0,
"2","Abutilon theophrasti",6,0.333330000033338,"ABTH","Forb/Herb","Introduced",0,0.5,0,
"2","Chenopodium album",6,0.333330000033338,"CHAL7","Forb/Herb","Native",0,0.5,0,
"2","Cichorium intybus",6,0.333330000033338,"CIIN","Forb/Herb","Introduced",0,0.5,0.5,0.5
"2","Cirsium vulgare",6,0.333330000033338,"CIVU","Forb/Herb","Introduced",0,0.5,0,
"2","Euthamia graminifolia",6,0.333330000033338,"EUGR5","Forb/Herb","Native",0,0.5,0,
"2","Lepidium campestre",6,0.333330000033338,"LECA5","Forb/Herb","Introduced",0,0.5,0,
"2","Potentilla norvegica",6,0.333330000033338,"PONO3","Forb/Herb","Native",0,0.5,0,
"2","Sonchus asper",6,0.333330000033338,"SOAS","Forb/Herb","Introduced",0,0.5,0,
"3","Juniperus virginiana",1,0.499995000050002,"JUVI","Tree","Native",0.3,1,1,5
"3","Dasiphora fruticosa",3,44.9995500045,"DAFR6","Shrub/Subshrub","Native",25,70,0.5,0.5
"3","Decodon verticillatus",3,16.49983500165,"DEVE","Shrub/Subshrub","Native",8,25,0.5,2
"3","Spiraea alba",3,8.49991500084999,"SPAL2","Shrub/Subshrub","Native",4.5,13,0.5,1
"3","Frangula alnus",3,0.499995000050002,"FRAL4","Shrub/Subshrub","Introduced",0.3,1,,
"3","Rhamnus alnifolia",3,0.499995000050002,"RHAL","Shrub/Subshrub","Native",0.3,1,0.5,1
"3","Salix eriocephala",3,0.499995000050002,"SAER","Shrub/Subshrub","Native",0.3,1,0.5,2
"3","Salix petiolaris",3,0.499995000050002,"SAPE5","Shrub/Subshrub","Native",0.3,1,0.5,2
"3","Cornus obliqua",3,0.0999990000099982,"COOB9","Shrub/Subshrub","Native",0.1,0.2,0.5,2
"3","Carex comosa",5,16.49983500165,"CACO8","Grass/grass-like (Graminoids)","Native",8,25,1,1.5
"3","Carex pellita",5,4.9999500005,"CAPE42","Grass/grass-like (Graminoids)","Native",2.5,8,0,
"3","Dulichium arundinaceum",5,0.999990000100004,"DUAR3","Grass/grass-like (Graminoids)","Native",0.5,1.5,1,1
"3","Scirpus cyperinus",5,0.999990000100004,"SCCY","Grass/grass-like (Graminoids)","Native",0.5,1.5,1,1.5
"3","Juncus dudleyi",5,0.499995000050002,"JUDU2","Grass/grass-like (Graminoids)","Native",0.3,1,0,
"3","Carex flava",5,0.0999990000099982,"CAFL4","Grass/grass-like (Graminoids)","Native",0.1,0.2,0,
"3","Liatris spicata",6,29.999700003,"LISP","Forb/Herb","Native",15,45,1,1.5
"3","Bidens cernua",6,16.49983500165,"BICE","Forb/Herb","Native",8,25,1,1
"3","Eupatorium perfoliatum",6,16.49983500165,"EUPE3","Forb/Herb","Native",8,25,0,
"3","Brasenia schreberi",6,0.999990000100004,"BRSC","Forb/Herb","Native",0.5,1.5,0,
"3","Eutrochium maculatum",6,0.499995000050002,"EUMA9","Forb/Herb","Native",0.3,1,1,1.5
"3","Lobelia spicata",6,0.499995000050002,"LOSP","Forb/Herb","Native",0.3,1,0,
"3","Thalictrum dasycarpum",6,0.499995000050002,"THDA","Forb/Herb","Native",0.3,1,0,
"3","Thelypteris palustris",7,8.49991500084999,"THPA","Fern/fern ally","Native",4.5,13,0,
"4","Fraxinus pennsylvanica",1,2.10868966070666,"FRPE","Tree","Native",0,7,1,1.5
"4","Fraxinus pennsylvanica",1,2.10868966070666,"FRPE","Tree","Native",0,0.1,0,
"4","Quercus macrocarpa",1,0.272724545481817,"QUMA2","Tree","Native",0,0.4,1,2
"4","Salix amygdaloides",1,0.181816363654541,"SAAM2","Tree","Native",0,0.3,1,2
"4","Ulmus americana",1,0.181816363654541,"ULAM","Tree","Native",0,0.5,1,5
"4","Acer rubrum",1,0.0909081818272761,"ACRU","Tree","Native",0,0.1,0,
"4","Acer saccharinum",1,0.0909081818272761,"ACSA2","Tree","Native",0,0.1,0,
"4","Ostrya virginiana",1,0.0909081818272761,"OSVI","Tree","Native",0,0.1,1,5
"4","Quercus bicolor",1,0.0909081818272761,"QUBI","Tree","Native",0,0.1,1,5
"4","Populus deltoides",1,0.0272724545481773,"PODE3","Tree","Native",0,0,1,1
"4","Rhus typhina",1,0.0272724545481773,"RHTY","Tree","Native",0,0,0,
"4","Salix interior",3,8.6362772735909,"SAIN3","Shrub/Subshrub","Native",0,13,0.5,2
"4","Cornus racemosa",3,1.90907181837272,"CORA6","Shrub/Subshrub","Native",0,3,0.5,2
"4","Rubus allegheniensis",3,0.454540909136358,"RUAL","Shrub/Subshrub","Native",0,0.5,0.5,2
"4","Salix petiolaris",3,0.454540909136358,"SAPE5","Shrub/Subshrub","Native",0,0.5,0.5,2
"4","Salix eriocephala",3,0.363632727309093,"SAER","Shrub/Subshrub","Native",0,0.5,0.5,2
